Education,Marital_Status,Income,Kidhome,Teenhome,Complain,Country_CA,Country_GER,Country_IND,Country_ME,Country_SA,Country_SP,Country_US,Total_Dependents,Is_parent,Age,Income_per_Capita,Actual_Success,Success_Probability
4,1,78075.0,0,0,0,0,0,0,0,0,1,0,0,0,43,78075.0,0,0.7556638895908845
2,0,78499.0,0,0,0,1,0,0,0,0,0,0,0,0,58,78499.0,1,0.747079437424388
4,1,78931.0,0,0,0,1,0,0,0,0,0,0,0,0,44,78931.0,0,0.7442705410357823
4,1,79174.0,0,0,0,1,0,0,0,0,0,0,0,0,40,79174.0,1,0.7438543137711515
2,0,79607.0,0,0,0,1,0,0,0,0,0,0,0,0,31,79607.0,1,0.7422285441457278
2,0,75127.0,0,0,0,0,0,0,0,1,0,0,0,0,63,75127.0,0,0.7414733694147165
4,0,42000.0,0,0,0,0,0,0,0,0,0,0,0,0,28,42000.0,1,0.7362397878738597
2,0,72903.0,0,0,0,0,0,0,0,0,1,0,0,0,30,72903.0,1,0.7310861488558306
4,1,72159.0,0,0,0,0,0,0,0,0,1,0,0,0,37,72159.0,0,0.7308264849884093
1,0,85485.0,0,0,0,0,0,0,0,0,1,0,0,0,57,85485.0,0,0.7308196340775085
3,1,89058.0,0,0,0,1,0,0,0,0,0,0,0,0,55,89058.0,0,0.7288732601884191
4,1,69098.0,0,0,0,0,0,0,0,0,1,0,0,0,66,69098.0,0,0.728772393651195
1,0,83257.0,0,0,1,0,0,0,0,0,1,0,0,0,20,83257.0,1,0.7255998604866886
3,1,85738.0,0,0,0,0,0,0,0,0,1,0,0,0,37,85738.0,0,0.7250614298659753
2,0,74293.0,0,0,0,0,0,0,0,1,0,0,0,0,22,74293.0,0,0.7239281632145919
4,0,41003.0,0,0,0,0,0,0,0,1,0,0,0,0,52,41003.0,0,0.7214235969828794
2,0,73170.0,0,0,0,1,0,0,0,0,0,0,0,0,40,73170.0,0,0.7197933088984946
3,1,83790.0,0,0,0,0,0,0,0,1,0,0,0,0,67,83790.0,0,0.7177956110830864
3,1,81843.0,0,0,0,0,0,0,0,0,1,0,0,0,55,81843.0,0,0.7156356776752106
3,1,80184.0,0,0,0,0,0,0,0,0,1,0,0,0,71,80184.0,0,0.7145876599270393
3,1,82584.0,0,0,0,0,0,0,0,0,1,0,0,0,41,82584.0,1,0.7136242189012875
2,0,68655.0,0,0,0,0,0,0,0,0,1,0,0,0,27,68655.0,0,0.7127848935529078
2,1,92344.0,0,0,0,0,0,0,0,0,0,0,0,0,67,92344.0,0,0.7110072890287069
4,1,67546.0,0,0,0,0,0,0,0,0,1,0,0,0,27,67546.0,0,0.7084419258796434
3,1,80950.0,0,0,0,0,0,0,0,1,0,0,0,0,54,80950.0,0,0.7012124924524115
1,0,79689.0,0,0,0,0,0,0,0,0,1,0,0,0,39,79689.0,0,0.7005011966983515
1,0,77297.0,0,0,0,0,0,0,0,0,1,0,0,0,58,77297.0,0,0.6974212155273302
4,0,60554.0,1,0,0,0,0,0,0,1,0,0,1,1,40,30277.0,0,0.6893865514625739
2,1,86610.0,0,0,0,0,0,0,0,0,1,0,0,0,64,86610.0,0,0.6751669163215148
3,1,68657.0,0,0,0,0,0,0,0,0,0,0,0,0,69,68657.0,0,0.6745021278590526
4,0,36802.0,1,0,0,0,0,0,0,0,1,0,1,1,35,18401.0,0,0.6742692192395484
3,1,73450.0,0,0,0,0,0,0,0,0,1,0,0,0,33,73450.0,0,0.6713334772682391
4,0,26642.0,1,0,0,0,0,0,0,0,1,0,1,1,48,13321.0,0,0.6689004425437193
3,1,65073.0,0,0,1,0,0,0,0,0,1,0,0,0,72,65073.0,0,0.6678349091334081
4,0,27213.0,1,0,0,0,0,0,0,0,1,0,1,1,43,13606.5,1,0.6675241840898473
4,0,25509.0,1,0,0,0,0,0,0,0,1,0,1,1,41,12754.5,1,0.6649669820921369
4,0,25509.0,1,0,0,0,0,0,0,0,1,0,1,1,41,12754.5,1,0.6649669820921369
4,1,53312.0,0,0,0,0,0,0,0,0,1,0,0,0,64,53312.0,0,0.6605525069899613
2,0,57136.0,0,0,0,0,0,0,0,1,0,0,0,0,48,57136.0,1,0.660013785268249
4,0,30899.0,1,0,0,0,0,0,0,1,0,0,1,1,41,15449.5,0,0.6594060336313162
2,1,84906.0,0,0,0,0,1,0,0,0,0,0,0,0,43,84906.0,0,0.6565794995801914
2,1,83003.0,0,0,0,0,0,0,0,0,1,0,0,0,50,83003.0,1,0.653372125588402
3,0,75777.0,0,0,0,0,0,1,0,0,0,0,0,0,33,75777.0,1,0.6517619775205126
3,1,66991.0,0,0,0,0,1,0,0,0,0,0,0,0,61,66991.0,0,0.6505576316750367
2,1,83145.0,0,0,0,0,0,0,0,0,1,0,0,0,41,83145.0,1,0.6503994896905992
